"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"Segregation.nlogox"
"post_densidad"
"10/26/2025 19:36:34:202 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","%-similar-wanted","density","[step]","count turtles with [ not happy? ]","percent-similar","percent-unhappy"
"8","square-x","75","30","39","0","100","0"
"4","square-x","75","30","57","0","99.71550497866288","0"
"5","square-x","75","30","55","0","99.86953685583822","0"
"9","square-x","75","30","53","0","99.92673992673993","0"
"10","square-x","75","30","46","0","100","0"
"1","square-x","75","30","44","0","99.68982630272953","0"
"2","square-x","75","30","52","0","99.76851851851852","0"
"11","square-x","75","40","55","0","99.82661465106199","0"
"7","square-x","75","30","55","0","99.92378048780488","0"
"3","square-x","75","30","56","0","99.72733469665985","0"
"12","square-x","75","40","54","0","99.79026845637584","0"
"13","square-x","75","40","54","0","99.82653946227234","0"
"16","square-x","75","40","56","0","99.74082073434126","0"
"6","square-x","75","30","72","0","99.86301369863013","0"
"14","square-x","75","40","54","0","99.74457215836526","0"
"18","square-x","75","40","53","0","99.83646770237122","0"
"20","square-x","75","40","56","0","99.79296066252587","0"
"21","square-x","75","50","53","0","99.79472140762464","0"
"15","square-x","75","40","52","0","99.70451667370199","0"
"17","square-x","75","40","57","0","99.47252747252747","0"
"24","square-x","75","50","49","0","99.78794304756134","0"
"25","square-x","75","50","50","0","99.6767558037026","0"
"19","square-x","75","40","61","0","99.91158267020336","0"
"23","square-x","75","50","53","0","99.8482088646023","0"
"26","square-x","75","50","57","0","99.75742874469375","0"
"22","square-x","75","50","57","0","99.82430453879941","0"
"27","square-x","75","50","63","0","99.75602317779811","0"
"29","square-x","75","50","68","0","99.69161760583123","0"
"28","square-x","75","50","64","0","99.74417282546901","0"
"30","square-x","75","50","78","0","99.68544466685731","0"
"31","square-x","75","60","71","0","99.79811574697173","0"
"33","square-x","75","60","68","0","99.75352901635671","0"
"32","square-x","75","60","83","0","99.7192830922047","0"
"35","square-x","75","60","74","0","99.73550804496362","0"
"34","square-x","75","60","86","0","99.71994829814736","0"
"37","square-x","75","60","69","0","99.6565934065934","0"
"38","square-x","75","60","80","0","99.73217964565308","0"
"36","square-x","75","60","90","0","99.70445429596792","0"
"39","square-x","75","60","64","0","99.71659036407237","0"
"40","square-x","75","60","68","0","99.82355535950596","0"
"42","square-x","75","70","102","0","99.79588365368261","0"
"44","square-x","75","70","99","0","99.70114560850075","0"
"43","square-x","75","70","109","0","99.73779088823336","0"
"45","square-x","75","70","90","0","99.72654247137241","0"
"41","square-x","75","70","113","0","99.74683544303798","0"
"48","square-x","75","70","97","0","99.79661016949153","0"
"47","square-x","75","70","108","0","99.78651485500801","0"
"46","square-x","75","70","122","0","99.86655546288574","0"
"49","square-x","75","70","108","0","99.82641902447492","0"
"50","square-x","75","70","122","0","99.73653877819858","0"
"52","square-x","75","80","145","0","99.8217468805704","0"
"54","square-x","75","80","170","0","99.83768429595563","0"
"55","square-x","75","80","188","0","99.78112175102599","0"
"56","square-x","75","80","179","0","99.71169686985174","0"
"51","square-x","75","80","198","0","99.84212603604789","0"
"57","square-x","75","80","153","0","99.77805520876682","0"
"53","square-x","75","80","161","0","99.90314099903142","0"
"59","square-x","75","80","190","0","99.86555525678946","0"
"60","square-x","75","80","170","0","99.80705622932746","0"
"58","square-x","75","80","247","0","99.91918103448276","0"
"64","square-x","75","90","269","0","99.88609181000115","0"
"63","square-x","75","90","296","0","99.87488626023658","0"
"61","square-x","75","90","330","0","99.91980753809142","0"
"62","square-x","75","90","318","0","99.87542468856172","0"
"67","square-x","75","90","243","0","99.87402656894182","0"
"66","square-x","75","90","220","0","99.88576650673978","0"
"68","square-x","75","90","289","0","99.89677715334328","0"
"65","square-x","75","90","336","0","99.78572234126537","0"
"69","square-x","75","90","307","0","99.8873747043586","0"
"70","square-x","75","90","396","0","99.81724728726442","0"
